,Name,Symbol,Date,High,Low,Open,Close,Volume,Year,Month,Variation Next Day,Variation Yesterday,Variation Last Week
7,XRP,XRP,2013-08-12 23:59:59,0.00452018016949296,0.004358979873359203,0.004414369817823172,0.0044485400430858135,0.0,2013,8,1,0,1
8,XRP,XRP,2013-08-13 23:59:59,0.004463320132344961,0.004171309992671013,0.004463320132344961,0.00424543023109436,0.0,2013,8,1,1,1
9,XRP,XRP,2013-08-14 23:59:59,0.004267049953341484,0.0037853899411857132,0.004267049953341484,0.0037884199991822243,0.0,2013,8,1,1,1
10,XRP,XRP,2013-08-15 23:59:59,0.003803629893809557,0.003066950011998415,0.003788100089877844,0.0030919699929654603,0.0,2013,8,0,1,1
11,XRP,XRP,2013-08-16 23:59:59,0.003162279957905412,0.002874870086088777,0.0030817301012575626,0.003133520018309355,0.0,2013,8,0,0,1
12,XRP,XRP,2013-08-17 23:59:59,0.005683499854058027,0.0031381100416183467,0.0031381100416183467,0.005671009887009859,0.0,2013,8,1,0,0
13,XRP,XRP,2013-08-18 23:59:59,0.006263379938900471,0.005585270002484322,0.005686730146408081,0.005617440212517978,0.0,2013,8,1,1,0
14,XRP,XRP,2013-08-19 23:59:59,0.0058386698365211495,0.005223390180617571,0.0055869598872959605,0.005260409787297249,0.0,2013,8,0,1,0
15,XRP,XRP,2013-08-20 23:59:59,0.006157769821584225,0.005308870226144791,0.005376270040869714,0.006098050158470869,0.0,2013,8,0,0,0
16,XRP,XRP,2013-08-21 23:59:59,0.006348799914121628,0.005949960090219975,0.006098300218582153,0.006130650173872709,0.0,2013,8,1,0,0
17,XRP,XRP,2013-08-22 23:59:59,0.006138110067695379,0.005142719950526953,0.006130650173872709,0.005142719950526953,0.0,2013,8,1,1,0
18,XRP,XRP,2013-08-23 23:59:59,0.005232479888945818,0.004919049795717001,0.005178799852728844,0.00513859000056982,0.0,2013,8,0,1,0
19,XRP,XRP,2013-08-24 23:59:59,0.005602819845080376,0.005125539842993021,0.005138980224728584,0.005545990075916053,0.0,2013,8,0,0,1
20,XRP,XRP,2013-08-25 23:59:59,0.006147670093923807,0.005518619902431965,0.005525540094822645,0.006103890016674995,0.0,2013,8,0,0,0
21,XRP,XRP,2013-08-26 23:59:59,0.0065068998374044895,0.006065050140023232,0.006103890016674995,0.006416920106858015,0.0,2013,8,0,0,0
22,XRP,XRP,2013-08-27 23:59:59,0.006935940124094486,0.00637345016002655,0.00646839989349246,0.0064520398154854774,0.0,2013,8,1,0,0
23,XRP,XRP,2013-08-28 23:59:59,0.0064627700485289106,0.006066130008548497,0.006451029796153307,0.006245969794690609,0.0,2013,8,1,1,0
24,XRP,XRP,2013-08-29 23:59:59,0.006245819851756096,0.005756480153650045,0.006245819851756096,0.005762599874287844,0.0,2013,8,0,1,0
25,XRP,XRP,2013-08-30 23:59:59,0.0062644798308610925,0.0056103901006281385,0.005760420113801956,0.00593033991754055,0.0,2013,8,1,0,0
26,XRP,XRP,2013-08-31 23:59:59,0.006080930121243,0.005576020106673241,0.0059125698171556,0.005631779786199331,0.0,2013,8,0,1,0
27,XRP,XRP,2013-09-01 23:59:59,0.005871950183063746,0.005573939997702837,0.005623039789497852,0.005786700174212457,0.0,2013,9,1,0,1
28,XRP,XRP,2013-09-02 23:59:59,0.006115199998021126,0.005506699904799461,0.005798830185085535,0.0055278600193560115,0.0,2013,9,0,1,1
29,XRP,XRP,2013-09-03 23:59:59,0.00569263007491827,0.0054049198515713215,0.0055180899798870095,0.005669829901307821,0.0,2013,9,0,0,1
30,XRP,XRP,2013-09-04 23:59:59,0.0062763202004134655,0.005507490132004023,0.005659880116581917,0.005694990046322346,0.0,2013,9,0,0,1
31,XRP,XRP,2013-09-05 23:59:59,0.005991079844534397,0.005474360194057226,0.005695890169590712,0.0057147499173879615,0.0,2013,9,0,0,1
32,XRP,XRP,2013-09-06 23:59:59,0.006150760222226381,0.005627399776130915,0.005717469844967128,0.005865559913218021,0.0,2013,9,0,0,1
33,XRP,XRP,2013-09-07 23:59:59,0.006270170211791992,0.005831589922308922,0.005852759815752506,0.006172969937324524,0.0,2013,9,0,0,0
34,XRP,XRP,2013-09-08 23:59:59,0.0063035800121724606,0.00611976021900773,0.006171979941427708,0.006183039862662554,0.0,2013,9,0,0,0
35,XRP,XRP,2013-09-09 23:59:59,0.006551759783178568,0.006079140119254589,0.006193209905177355,0.0062700100243091575,0.0,2013,9,1,0,0
36,XRP,XRP,2013-09-10 23:59:59,0.006331829819828272,0.005807360168546438,0.006277900189161301,0.005807819776237011,0.0,2013,9,0,1,0
37,XRP,XRP,2013-09-11 23:59:59,0.00639289990067482,0.005697799846529961,0.005806900095194578,0.0062732300721108905,0.0,2013,9,0,0,0
38,XRP,XRP,2013-09-12 23:59:59,0.006441540084779263,0.006007609888911247,0.0062871500849723825,0.006348629947751761,0.0,2013,9,0,0,0
39,XRP,XRP,2013-09-13 23:59:59,0.006719720084220171,0.006316469982266426,0.006334320176392794,0.0065131098963320255,0.0,2013,9,1,0,0
40,XRP,XRP,2013-09-14 23:59:59,0.006550429854542017,0.00628795986995101,0.006514559965580703,0.00633984012529254,0.0,2013,9,0,1,0
